factorised,gameID
0,266357
1,6359
2,7551
3,9073
4,232
5,282445
6,267639
7,297
8,285235
9,307
10,6744
11,3267
12,9471
13,10395
14,19348
15,338
16,193776
17,247
18,256431
19,199894
20,124
21,2963
22,7598
23,1372
24,9409
25,306881
26,14788
27,20975
28,8587
29,2592
30,21273
31,14789
32,19350
33,11404
34,19351
35,14794
36,15614
37,602
38,8935
39,27841
40,2369
41,355
42,356
43,306944
44,269914
45,218185
46,313164
47,196490
48,262016
49,6634
50,3512
51,8419
52,5922
53,2608
54,9019
55,9173
56,11
57,159962
58,621
59,294571
60,624
61,587
62,15626
63,9318
64,9319
65,9320
66,9316
67,3347
68,14803
69,2668
70,8034
71,429
72,9310
73,8387
74,5042
75,10358
76,5135
77,1836
78,20509
79,28975
80,14813
81,15712
82,20546
83,9830
84,8322
85,3077
86,3961
87,122409
88,14818
89,5716
90,1015
91,1016
92,1339
93,4228
94,27820
95,868
96,3083
97,865
98,3278
99,839
100,15719
101,320
102,5840
103,5841
104,84532
105,28981
106,467
107,82071
108,6942
109,82069
110,446
111,447
112,14824
113,13213
114,9362
115,242
116,13214
117,14826
118,1335
119,148
120,184
121,153
122,152
123,138825
124,26401
125,322364
126,211
127,7518
128,726
129,15725
130,15043
131,19353
132,1961
133,895
134,2352
135,19354
136,14828
137,27861
138,20545
139,879
140,961
141,653
142,477
143,748
144,1048
145,4223
146,1042
147,1050
148,25358
149,42
150,3
151,1161
152,5991
153,292227
154,10
155,2451
156,278
157,13227
158,19358
159,7256
160,53865
161,28986
162,10743
163,840
164,27823
165,25
166,26
167,27
168,24
169,9322
170,182378
171,10591
172,135294
173,1162
174,7032
175,5634
176,1163
177,4222
178,558
179,10059
180,9456
181,9463
182,15756
183,2584
184,10380
185,737
186,633
187,538
188,720
189,721
190,866
191,465
192,1370
193,276
194,888
195,468
196,6997
197,826
198,9339
199,9376
200,15762
201,14847
202,625
203,27852
204,29112
205,249971
206,235105
207,559
208,3110
209,9823
210,441
211,560
212,15773
213,6863
214,5442
215,6786
216,27849
217,6812
218,6737
219,9931
220,15777
221,29191
222,14855
223,15779
224,14856
225,15780
226,20040
227,46
228,9477
229,10134
230,220171
231,730
232,215550
233,732
234,1971
235,19
236,239064
237,200403
238,6574
239,9420
240,11440
241,15798
242,29116
243,213052
244,164801
245,242993
246,130809
247,53821
248,911
249,182225
250,836
251,312285
252,193362
253,27827
254,1341
255,15817
256,370
257,619
258,993
259,870
260,5780
261,152333
262,5563
263,372
264,371
265,618
266,15936
267,14905
268,6286
269,3240
270,466
271,999
272,1000
273,1001
274,21070
275,4634
276,10568
277,520
278,2147
279,29118
280,7232
281,7049
282,84313
283,9506
284,27834
285,137307
286,296
287,336
288,1876
289,77348
290,248142
291,14915
292,76
293,131436
294,131931
295,959
296,29119
297,14978
298,5055
299,29123
300,14979
301,14917
302,2249
303,2250
304,2251
305,1057
306,14918
307,197893
308,4777
309,8190
310,9772
311,14920
312,485
313,9455
314,617
315,28989
316,46633
317,159110
318,4840
319,4083
320,1371
321,469
322,237200
323,27832
324,20740
325,2738
326,7246
327,27854
328,294292
329,514
330,237596
331,14929
332,884
333,54535
334,15856
335,847
336,4824
337,7468
338,430
339,316963
340,8792
341,27840
342,27833
343,8944
344,2048
345,2284
346,202170
347,564
348,24775
349,27845
350,50313
351,21892
352,16
353,505
354,15972
355,1017
356,9964
357,9962
358,9963
359,9309
360,10385
361,27828
362,27829
363,8395
364,8394
365,2594
366,8980
367,5584
368,210440
369,111023
370,576
371,1381
372,2038
373,297464
374,7586
375,161737
376,4218
377,10067
378,27891
379,321
380,759
381,707
382,264877
383,7115
384,352
385,13790
386,304909
387,180628
388,14941
389,8206
390,8385
391,51815
392,2040
393,2028
394,741
395,5039
396,25062
397,19199
398,24528
399,3976
400,2853
401,14946
402,1004
403,197086
404,8481
405,15990
406,11031
407,14948
408,14949
409,488
410,15992
411,9983
412,259129
413,9793
414,6959
415,15995
416,59874
417,16005
418,9308
419,14957
420,114760
421,189
422,267418
423,314686
424,65
425,116
426,150
427,160
428,157
429,210
430,19637
431,2682
432,138
433,66
434,93832
435,137
436,6844
437,262186
438,9349
439,9350
440,5812
441,9351
442,4203
443,357
444,29200
445,16015
446,8634
